fecha,linea,inspecciones,fallas_detectadas
2024-01-01,Línea B,190,21
2024-01-02,Línea B,291,2
2024-01-03,Línea A,269,17
2024-01-04,Línea B,175,11
2024-01-05,Línea B,107,0
2024-01-06,Línea A,197,21
2024-01-07,Línea C,269,11
2024-01-08,Línea A,249,4
2024-01-09,Línea B,110,24
2024-01-10,Línea B,176,16
2024-01-11,Línea A,154,15
2024-01-12,Línea C,216,14
2024-01-13,Línea B,50,22
2024-01-14,Línea B,180,14
2024-01-15,Línea B,254,4
2024-01-16,Línea A,141,20
2024-01-17,Línea B,239,13
2024-01-18,Línea C,298,1
2024-01-19,Línea B,240,10
2024-01-20,Línea B,162,18
2024-01-21,Línea C,202,6
2024-01-22,Línea B,105,5
2024-01-23,Línea A,210,1
2024-01-24,Línea A,215,5
2024-01-25,Línea A,166,17
2024-01-26,Línea C,183,1
2024-01-27,Línea B,107,17
2024-01-28,Línea A,93,14
2024-01-29,Línea C,222,18
2024-01-30,Línea B,209,1
2024-01-31,Línea C,222,19
2024-02-01,Línea A,110,24
2024-02-02,Línea A,96,5
2024-02-03,Línea A,198,0
2024-02-04,Línea C,129,23
2024-02-05,Línea C,167,14
2024-02-06,Línea A,262,22
2024-02-07,Línea C,252,9
2024-02-08,Línea A,278,18
2024-02-09,Línea A,213,16
2024-02-10,Línea B,276,4
2024-02-11,Línea C,196,3
2024-02-12,Línea A,69,9
2024-02-13,Línea A,234,23
2024-02-14,Línea C,195,16
2024-02-15,Línea B,96,9
2024-02-16,Línea B,282,16
2024-02-17,Línea A,98,19
2024-02-18,Línea C,63,23
2024-02-19,Línea B,192,4
2024-02-20,Línea C,208,1
2024-02-21,Línea C,50,5
2024-02-22,Línea A,166,20
2024-02-23,Línea B,103,1
2024-02-24,Línea A,167,12
2024-02-25,Línea B,52,10
2024-02-26,Línea B,193,10
2024-02-27,Línea B,264,15
2024-02-28,Línea B,234,10
2024-02-29,Línea B,252,18
2024-03-01,Línea C,61,14
2024-03-02,Línea A,123,24
2024-03-03,Línea C,273,22
2024-03-04,Línea B,65,22
2024-03-05,Línea A,249,15
2024-03-06,Línea B,151,10
2024-03-07,Línea A,253,21
2024-03-08,Línea C,201,15
2024-03-09,Línea A,205,7
2024-03-10,Línea A,166,3
2024-03-11,Línea A,57,7
2024-03-12,Línea A,171,3
2024-03-13,Línea A,141,23
2024-03-14,Línea B,213,24
2024-03-15,Línea A,139,2
2024-03-16,Línea A,185,2
2024-03-17,Línea C,235,17
2024-03-18,Línea A,109,18
2024-03-19,Línea C,227,18
2024-03-20,Línea B,77,20
2024-03-21,Línea A,269,4
2024-03-22,Línea C,150,17
2024-03-23,Línea C,90,9
2024-03-24,Línea B,277,21
2024-03-25,Línea A,241,20
2024-03-26,Línea A,204,5
2024-03-27,Línea C,295,0
2024-03-28,Línea A,240,4
2024-03-29,Línea C,194,8
2024-03-30,Línea A,250,11
2024-03-31,Línea C,210,13
2024-04-01,Línea A,294,1
2024-04-02,Línea B,261,16
2024-04-03,Línea A,254,13
2024-04-04,Línea A,269,12
2024-04-05,Línea B,289,8
2024-04-06,Línea A,206,24
2024-04-07,Línea B,190,14
2024-04-08,Línea A,95,24
2024-04-09,Línea C,84,21
2024-04-10,Línea C,183,14
2024-04-11,Línea A,131,23
2024-04-12,Línea A,164,10
2024-04-13,Línea A,246,15
2024-04-14,Línea C,96,16
2024-04-15,Línea A,202,3
2024-04-16,Línea C,243,0
2024-04-17,Línea B,59,7
2024-04-18,Línea C,105,16
2024-04-19,Línea C,79,2
2024-04-20,Línea B,291,19
2024-04-21,Línea C,158,14
2024-04-22,Línea A,54,14
2024-04-23,Línea A,168,23
2024-04-24,Línea C,297,21
2024-04-25,Línea A,82,13
2024-04-26,Línea C,167,22
2024-04-27,Línea A,114,13
2024-04-28,Línea A,195,23
2024-04-29,Línea C,273,1
2024-04-30,Línea A,288,12
2024-05-01,Línea C,226,13
2024-05-02,Línea A,60,23
2024-05-03,Línea A,134,18
2024-05-04,Línea B,75,6
2024-05-05,Línea B,112,2
2024-05-06,Línea C,266,14
2024-05-07,Línea B,135,22
2024-05-08,Línea C,108,13
2024-05-09,Línea B,76,10
2024-05-10,Línea A,226,14
2024-05-11,Línea C,254,12
2024-05-12,Línea C,210,17
2024-05-13,Línea A,147,5
2024-05-14,Línea C,154,2
2024-05-15,Línea C,148,18
2024-05-16,Línea B,178,14
2024-05-17,Línea C,198,24
2024-05-18,Línea A,289,22
2024-05-19,Línea B,104,4
2024-05-20,Línea B,55,9
2024-05-21,Línea A,269,6
2024-05-22,Línea A,258,24
2024-05-23,Línea B,246,16
2024-05-24,Línea C,144,6
2024-05-25,Línea B,182,21
2024-05-26,Línea A,151,11
2024-05-27,Línea B,52,24
2024-05-28,Línea A,230,16
2024-05-29,Línea B,72,12
2024-05-30,Línea C,278,19
2024-05-31,Línea B,102,24
2024-06-01,Línea B,214,3
2024-06-02,Línea A,251,9
2024-06-03,Línea A,251,2
2024-06-04,Línea A,132,8
2024-06-05,Línea B,194,12
2024-06-06,Línea C,134,17
2024-06-07,Línea A,127,14
2024-06-08,Línea A,250,3
2024-06-09,Línea B,159,14
2024-06-10,Línea A,50,21
2024-06-11,Línea C,100,1
2024-06-12,Línea C,222,14
2024-06-13,Línea A,254,7
2024-06-14,Línea A,53,7
2024-06-15,Línea B,239,16
2024-06-16,Línea C,242,11
2024-06-17,Línea C,162,18
2024-06-18,Línea A,281,9
2024-06-19,Línea B,81,8
2024-06-20,Línea C,83,4
2024-06-21,Línea C,141,5
2024-06-22,Línea B,144,19
2024-06-23,Línea B,121,1
2024-06-24,Línea C,88,23
2024-06-25,Línea C,203,12
2024-06-26,Línea B,299,5
2024-06-27,Línea C,211,4
2024-06-28,Línea A,231,24
